ชื่อ - สกุล,ปี จัดแข่งขัน,รายการ,ประเภท,ตำแหน่ง,สังกัด
ปริญญาภัทร ดนัยพิทักษ์,2568,SET Table Tennis Club Championships 2025,ประเภททีมเยาวชนหญิงอายุไม่เกิน 15 ปี,ตำแหน่งที่ 3,เมืองทอง A
ปริญญาภัทร ดนัยพิทักษ์,2568,All Thailand 2025 Circuit 1,ประเภทเยาวชนหญิงคู่อายุ 12 - 15  ปี,ตำแหน่งที่ 3,เมืองทอง
ปริญญาภัทร ดนัยพิทักษ์,2568,All Thailand 2025 Circuit 2,ประเภทเยาวชนหญิงคู่อายุ 12 - 15  ปี,ตำแหน่งที่ 3,เมืองทอง
ปริญญาภัทร ดนัยพิทักษ์,2568,All Thailand 2025 Circuit 3,ประเภทเยาวชนหญิงคู่อายุ 12 - 15  ปี,ตำแหน่งที่ 3,เมืองทอง
ปริญญาภัทร ดนัยพิทักษ์,2568,NCN THAMMASAT TABLE TENNIS OPEN 2025,ประเภทเยาวชนหญิงคู่อายุไม่เกิน 12-15 ปี,ตำแหน่งที่ 3,เมืองทอง
ปริญญาภัทร ดนัยพิทักษ์,2568,CHIANG RAI OPEN 2025,ประเภทเยาวชนหญิงเดี่ยวอายุไม่เกิน 15 ปี ,ตำแหน่งที่ 3,มหาวิทยาลัยธนบุรี
ปริญญาภัทร ดนัยพิทักษ์,2568,CHIANG RAI OPEN 2025,ประเภทเยาวชนหญิงเดี่ยวอายุไม่เกิน 17 ปี ,ตำแหน่งที่ 3,มหาวิทยาลัยธนบุรี
ปริญญาภัทร ดนัยพิทักษ์,2568,CHIANG RAI OPEN 2025,ประเภทเยาวชนหญิงคู่อายุ 12 - 17 ปี,ตำแหน่งที่ 3,มหาวิทยาลัยธนบุรี
ปริญญาภัทร ดนัยพิทักษ์,2567,SET Table Tennis Club Championships 2024,ประเภททีมเยาวชนหญิงอายุไม่เกิน  13 ปี,รองชนะเลิศ,สโมสรเทเบิลเทนนิสบ้านปู A
ปริญญาภัทร ดนัยพิทักษ์,2567,SPRC - CALTEX SUPER CUP 2024,ประเภทเยาวชนหญิงเดี่ยวอายุไม่เกิน 13 ปี ,ชนะเลิศ,สาธิตประสานมิตร
ปริญญาภัทร ดนัยพิทักษ์,2565,M Electrolyte Club Table Tennis Championships 2021,ประเภททีมเยาวชนหญิงอายุไม่เกิน  13 ปี,ตำแหน่งที่ 3,สโมสรเทเบิลเทนนิสบ้านปู 2
ปรินทร์ ควรบำรุง,2565,M Electrolyte Table Tennis Club Championships 2022,ประเภททีมเยาวชนชายอายุไม่เกิน  13 ปี,รองชนะเลิศ,สโมสรเทเบิลเทนนิสบ้านปู A
ปรินทิพย์ ชมนิกร,2568,NCN THAMMASAT TABLE TENNIS OPEN 2025,ประเภทหญิงเดี่ยว จำกัดมือ,ตำแหน่งที่ 3,โตโยต้า แก่นนคร
ปรินทิพย์ ชมนิกร,2568,SPRC SUPER CUP 2025,ประเภทหญิงเดี่ยวจำกัดมือ,ตำแหน่งที่ 3,B.Y.Carcare
ปรีชา ลิจุติภูมิ,2568,CHIANG RAI OPEN 2025,ประเภทชายเดี่ยวอายุ 60 ปีขึ้นไป,ตำแหน่งที่ 3,เชียงใหม่
ปรีชา ลิจุติภูมิ,2567,Master Table Tennis 2024 Circuit 3,ประเภทชายเดี่ยวอายุ 65 ปี ขึ้นไป,รองชนะเลิศ,เชียงใหม่
ปรีชา ลิจุติภูมิ,2566,Master Table Tennis Club Championships 2023,ประเภททีมชายอายุ 65 – 69 ปี,ตำแหน่งที่ 3,เชียงใหม่ KMTTU-KKU-CMU
ปรีชา ลิจุติภูมิ,2566,CHIANGMAI PINGPONG FOR FUN II,ประเภทชายเดี่ยวอายุ 65 ปี ขึ้นไป,ตำแหน่งที่ 3,เชียงใหม่
ปรีชาชาญ วงศ์จวง,2568,SET Table Tennis Club Championships 2025,ประเภททีมเยาวชนชายอายุไม่เกิน 9 ปี,ชนะเลิศ,สโมสรเทเบิลเทนนิสตำรวจ
ปวริศร์ ทองหล่อ,2568,SET Table Tennis Club Championships 2025,ประเภททีมเยาวชนชายอายุไม่เกิน 15 ปี,ตำแหน่งที่ 3,สโมสรกีฬาเซ็นทรัล B
ปวริศร์ ทองหล่อ,2568,SET Table Tennis Club Championships 2025,ประเภททีมเยาวชนชายอายุไม่เกิน 13 ปี,ชนะเลิศ,สโมสรกีฬาเซ็นทรัล A
ปวริศร์ ทองหล่อ,2568,All Thailand 2025 Circuit 1,ประเภทเยาวชนชายคู่อายุ 12 - 15  ปี,รองชนะเลิศ,สโมสรกีฬาเซ็นทรัล
ปวริศร์ ทองหล่อ,2568,All Thailand 2025 Circuit 2,ประเภทเยาวชนชายคู่อายุ 12 - 15  ปี,ตำแหน่งที่ 3,สโมสรกีฬาเซ็นทรัล
ปวริศร์ ทองหล่อ,2568,All Thailand 2025 Circuit 2,ประเภทเยาวชนชายเดี่ยวอายุไม่เกิน 13 ปี ,รองชนะเลิศ,สโมสรกีฬาเซ็นทรัล
ปวริศร์ ทองหล่อ,2568,All Thailand 2025 Circuit 2,ประเภทเยาวชนชายเดี่ยวอายุไม่เกิน 15 ปี ,ตำแหน่งที่ 3,สโมสรกีฬาเซ็นทรัล
ปวริศร์ ทองหล่อ,2568,All Thailand 2025 Circuit 3,ประเภทเยาวชนชายเดี่ยวอายุไม่เกิน 15 ปี ,ตำแหน่งที่ 3,สโมสรกีฬาเซ็นทรัล
ปวริศร์ ทองหล่อ,2568,Chonburi PAO Table Tennis Open 2025,ประเภทเยาวชนชายเดี่ยวอายุไม่เกิน 13 ปี ,รองชนะเลิศ,สโมสรกีฬาเซ็นทรัล
ปวริศร์ ทองหล่อ,2568,NCN THAMMASAT TABLE TENNIS OPEN 2025,ประเภทเยาวชนชายเดี่ยวอายุไม่เกิน 13 ปี ,ตำแหน่งที่ 3,มดแดง มอเตอร์
ปวริศร์ ทองหล่อ,2568,BUTTERFLY & SISB OPEN 2025,ประเภทเยาวชนชายเดี่ยวอายุไม่เกิน 13 ปี ,ชนะเลิศ,สโมสรกีฬาเซ็นทรัล
ปวริศร์ ทองหล่อ,2568,SPRC SUPER CUP 2025,ประเภทเยาวชนชายเดี่ยวอายุไม่เกิน 13 ปี ,ตำแหน่งที่ 3,มดแดง มอเตอร์
ปวริศร์ ทองหล่อ,2567,SET Table Tennis Club Championships 2024,ประเภททีมเยาวชนชายอายุไม่เกิน   13 ปี,ชนะเลิศ,สโมสรกีฬาเซ็นทรัล A
ปวริศร์ ทองหล่อ,2567,All Thailand2024 Circuit 1,ประเภทเยาวชนชายเดี่ยวอายุไม่เกิน 13 ปี ,รองชนะเลิศ,สโมสรกีฬาเซ็นทรัล
ปวริศร์ ทองหล่อ,2567,All Thailand 2024 Circuit 2,ประเภทเยาวชนชายคู่อายุ 12 - 15  ปี,ตำแหน่งที่ 3,สโมสรกีฬาเซ็นทรัล
ปวริศร์ ทองหล่อ,2567,All Thailand 2024 Circuit 2,ประเภทเยาวชนชายเดี่ยวอายุไม่เกิน 13 ปี ,ตำแหน่งที่ 3,สโมสรกีฬาเซ็นทรัล
ปวริศร์ ทองหล่อ,2567,All Thailand 2024 Circuit 3,ประเภทเยาวชนชายเดี่ยวอายุไม่เกิน 13 ปี ,ตำแหน่งที่ 3,สโมสรกีฬาเซ็นทรัล
